IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2016,true,,,,,,,,,,,,,0.039,,,,,,0.039,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,LBR,Liberia,Year,2016,true,,,,,,,,,,,,,0.044,,,,,,0.044,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2016,true,,,,,,,,,,,,,0.046,,,,,,0.046,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,TGO,Togo,Year,2016,true,,,,,,,,,,,,,0.054,,,,,,0.054,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,ZMB,Zambia,Year,2016,true,,,,,,,,,,,,,0.056,,,,,,0.056,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,AGO,Angola,Year,2016,true,,,,,,,,,,,,,0.057,,,,,,0.057,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,GHA,Ghana,Year,2016,true,,,,,,,,,,,,,0.058,,,,,,0.058,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,MDG,Madagascar,Year,2016,true,,,,,,,,,,,,,0.058,,,,,,0.058,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2016,true,,,,,,,,,,,,,0.06,,,,,,0.06,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AMR,Americas,Country,HTI,Haiti,Year,2016,true,,,,,,,,,,,,,0.075,,,,,,0.075,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,COG,Congo,Year,2016,true,,,,,,,,,,,,,0.08,,,,,,0.08,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2016,true,,,,,,,,,,,,,0.081,,,,,,0.081,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,UGA,Uganda,Year,2016,true,,,,,,,,,,,,,0.082,,,,,,0.082,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2016,true,,,,,,,,,,,,,0.095,,,,,,0.095,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,GMB,Gambia,Year,2016,true,,,,,,,,,,,,,0.1,,,,,,0.1,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2016,true,,,,,,,,,,,,,0.13,,,,,,0.13,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,CIV,Côte d’Ivoire,Year,2016,true,,,,,,,,,,,,,0.13,,,,,,0.13,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,KEN,Kenya,Year,2016,true,,,,,,,,,,,,,0.18,,,,,,0.18,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,SEN,Senegal,Year,2016,true,,,,,,,,,,,,,0.2,,,,,,0.2,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2016,true,,,,,,,,,,,,,0.2,,,,,,0.2,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AMR,Americas,Country,MEX,Mexico,Year,2016,true,,,,,,,,,,,,,0.21,,,,,,0.21,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,WPR,Western Pacific,Country,FJI,Fiji,Year,2016,true,,,,,,,,,,,,,0.22,,,,,,0.22,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2016,true,,,,,,,,,,,,,0.23,,,,,,0.23,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,GAB,Gabon,Year,2016,true,,,,,,,,,,,,,0.26,,,,,,0.26,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,SEAR,South-East Asia,Country,IND,India,Year,2016,true,,,,,,,,,,,,,0.29,,,,,,0.29,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2016,true,,,,,,,,,,,,,0.31,,,,,,0.31,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2016,true,,,,,,,,,,,,,0.36,,,,,,0.36,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,NAM,Namibia,Year,2016,true,,,,,,,,,,,,,0.37,,,,,,0.37,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2016,true,,,,,,,,,,,,,0.37,,,,,,0.37,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2016,true,,,,,,,,,,,,,0.38,,,,,,0.38,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2016,true,,,,,,,,,,,,,0.38,,,,,,0.38,,,EN,2019-04-25T05:00:00.000Z
